Age (years b2k)	d18O(permil)
7260	-34.87
7280	-34.12
7300	-34.84
7320	-34.99
7340	-34.73
7360	-34.64
7380	-34.74
7400	-34.31
7420	-34.55
7440	-34.62
7460	-34.5
7480	-34.44
7500	-33.88
7520	-34.77
7540	-34.78
7560	-35.04
7580	-34.34
7600	-34.52
7620	-34.08
7640	-34.01
7660	-34.88
7680	-33.9
7700	-34.01
7720	-34.65
7740	-34.26
7760	-34.09
7780	-34.75
7800	-34.35
7820	-34.13
7840	-33.76
7860	-34.35
7880	-34.4
7900	-34.62
7920	-34.98
7940	-34.51
7960	-34.78
7980	-34.83
8000	-33.6
8020	-34.04
8040	-34.4
8060	-34.43
8080	-35.05
8100	-34.51
8120	-34.5
8140	-33.96
8160	-35.44
8180	-35.68
8200	-35.54
8220	-36.06
8240	-35.88
8260	-36.03
8280	-35.21
8300	-35.68
8320	-34.5
8340	-34.7
8360	-34.87
8380	-34.95
8400	-34.41
8420	-35.36
8440	-34.79
8460	-34.46
8480	-35.07
8500	-34.7
8520	-34.43
8540	-34.83
8560	-34.99
8580	-34.59
8600	-34.35
8620	-34.83
8640	-34.18
8660	-35.02
8680	-35.46
8700	-35.21
8720	-34.01
8740	-34.92
8760	-34.49
8780	-35.34
8800	-34.22
8820	-35.57
8840	-35.22
8860	-34.08
8880	-35.15
8900	-34.57
8920	-34.17
8940	-34.3
8960	-34.71
8980	-34.57
9000	-34.47
9020	-34.68
9040	-35.57
9060	-35.18
9080	-34.92
9100	-34.73
9120	-34.61
9140	-34.98
9160	-34.47
9180	-34.34
9200	-34.7
9220	-34.83
9240	-34.92
9260	-35.62
9280	-35.66
9300	-36.05
9320	-35.19
9340	-35.04
9360	-34.91
9380	-34.56
9400	-34.87
9420	-34.8
9440	-34.83
9460	-35.12
9480	-35.12
9500	-34.92
9520	-34.66
9540	-35.01
9560	-34.56
9580	-34.98
9600	-35.13
9620	-34.95
9640	-34.77
9660	-34.96
9680	-34.85
9700	-34.84
9720	-34.62
9740	-34.68
9760	-34.87
9780	-34.66
9800	-34.49
9820	-35.12
9840	-35.37
9860	-35.22
9880	-34.54
9900	-35.06
9920	-35.26
9940	-34.85
9960	-35.46
9980	-34.65
10000	-35.1
10020	-34.94
10040	-35.11
10060	-35.79
10080	-35.21
10100	-35.32
10120	-35.29
10140	-35.45
10160	-34.99
10180	-35.02
10200	-34.89
10220	-35.93
10240	-35.54
10260	-36.33
10280	-36.39
10300	-36.01
10320	-36.01
10340	-35.2
10360	-36.12
10380	-36.18
10400	-36.36
10420	-35.96
10440	-36.12
10460	-36.04
10480	-35.53
10500	-36.34
10520	-35.46
10540	-35.73
10560	-35.86
10580	-35.99
10600	-35.89
10620	-36.12
10640	-36.13
10660	-36.16
10680	-35.5
10700	-35.77
10720	-36.05
10740	-36.45
10760	-35.88
10780	-36.22
10800	-36.83
10820	-35.84
10840	-36.59
10860	-36.09
10880	-37.23
10900	-37.6
10920	-37.25
10940	-37.15
10960	-37
10980	-38.01
11000	-36.53
11020	-37.05
11040	-36.44
11060	-36.64
11080	-36.89
11100	-37.11
11120	-36.71
11140	-36.43
11160	-37.13
11180	-36.62
11200	-37.25
11220	-37.39
11240	-37.6
11260	-36.57
11280	-36.16
11300	-36.58
11320	-37.54
11340	-36.67
11360	-36.91
11380	-37.45
11400	-37.63
11420	-37.11
11440	-38.46
11460	-38.26
11480	-38.72
11500	-37.41
11520	-37.84
11540	-36.9
11560	-36.6
11580	-36.87
11600	-36.78
11620	-36.41
11640	-36.57
11660	-36.68
11680	-38.49
11700	-39.04
11720	-39.6
11740	-39.72
11760	-40.85
11780	-40.55
11800	-39.87
11820	-40.45
11840	-40.97
11860	-39.17
11880	-38.93
11900	-41.52
11920	-39.73
11940	-41.94
11960	-40.34
11980	-41.54
12000	-40.54
12020	-39.6
12040	-40.17
12060	-39.32
12080	-40.77
12100	-40.74
12120	-41.89
12140	-40.61
12160	-41.76
12180	-42.09
12200	-38.91
12220	-41.4
12240	-40.9
12260	-39.9
12280	-40.71
12300	-41.01
12320	-40.41
12340	-40.95
12360	-41.73
12380	-41.17
12400	-40.73
12420	-41.21
12440	-41.05
12460	-41.39
12480	-40.02
12500	-41.91
12520	-40.62
12540	-39.09
12560	-40.95
12580	-40.54
12600	-41.43
12620	-42.71
12640	-40.59
12660	-41.82
12680	-40.92
12700	-42.27
12720	-41.82
12740	-41.95
12760	-41.06
12780	-39.86
12800	-40.17
12820	-40.36
12840	-39.88
12860	-38.98
12880	-39.81
12900	-40.11
12920	-39.42
12940	-37.79
12960	-38.25
12980	-39.11
13000	-38.96
13020	-39.87
13040	-39.55
13060	-39.49
13080	-40.52
13100	-39.77
13120	-40.57
13140	-40.17
13160	-41.51
13180	-40.08
13200	-40.53
13220	-40.1
13240	-40.58
13260	-39.45
13280	-39.3
13300	-38.97
13320	-39.03
13340	-39.35
13360	-39.07
13380	-38.56
13400	-38.36
13420	-38.76
13440	-38.14
13460	-38.56
13480	-38.79
13500	-38.33
13520	-37.74
13540	-38.08
13560	-38.29
13580	-38.99
13600	-39.36
13620	-39.64
13640	-40.05
13660	-39.21
13680	-39.09
13700	-38.67
13720	-38.93
13740	-37.66
13760	-38.45
13780	-39.42
13800	-38.81
13820	-37.86
13840	-39.05
13860	-37.96
13880	-38
13900	-38.43
13920	-38.21
13940	-38.61
13960	-38.03
13980	-39.99
14000	-39.03
14020	-39.73
14040	-40.21
14060	-39.9
14080	-40.94
14100	-38.05
14120	-38.34
14140	-38.01
14160	-38.68
14180	-38.04
14200	-37.59
14220	-37.46
14240	-38.42
14260	-37.76
14280	-37.19
14300	-37.13
14320	-37.05
14340	-37.54
14360	-36.81
14380	-37.49
14400	-36.07
14420	-37.17
14440	-37.29
14460	-37.04
14480	-36.86
14500	-36.26
14520	-36.11
14540	-36.14
14560	-36.14
14580	-36.98
14600	-35.81
14620	-36.74
14640	-37.48
14660	-37.52
14680	-37.97
14700	-40.64
14720	-41.96
14740	-42.47
14760	-40.81
14780	-41.03
14800	-39.92
14820	-40.68
14840	-42.44
14860	-40.78
14880	-41.18
14900	-40.14
14920	-41.47
14940	-41.76
14960	-41.65
14980	-40.88
15000	-42.61
15020	-42.37
15040	-41.54
15060	-43.17
15080	-39.98
15100	-43.51
15120	-42.76
15140	-40.12
15160	-42.26
15180	-42.99
15200	-42.08
15220	-40.57
15240	-43.57
15260	-40.55
15280	-44.91
15300	-41.99
15320	-41.29
15340	-42.08
15360	-40.75
15380	-40.66
15400	-40.04
15420	-43.26
15440	-42.38
15460	-42.89
15480	-41.61
15500	-41.95
15520	-43.57
15540	-41.88
15560	-43.21
15580	-44.56
15600	-42.31
15620	-42.15
15640	-42.12
15660	-42.2
15680	-40.39
15700	-43.5
15720	-43.08
15740	-44.63
15760	-42.79
15780	-44.02
15800	-43.85
15820	-40.21
15840	-41.7
15860	-41.15
15880	-40.81
15900	-43.15
15920	-42.98
15940	-41.55
15960	-40.53
15980	-41.6
16000	-41.94
16020	-42.3
16040	-41.42
16060	-41.29
16080	-42.99
16100	-44.97
16120	-43.25
16140	-40.35
16160	-43.59
16180	-41.86
16200	-41.64
16220	-44.27
16240	-39.89
16260	-42.36
16280	-41.99
16300	-40.71
16320	-42.1
16340	-42.33
16360	-42.5
16380	-39.74
16400	-42.81
16420	-41.62
16440	-40.74
16460	-42.58
16480	-41.26
16500	-41.18
16520	-38.29
16540	-40.38
16560	-41.68
16580	-41.52
16600	-40.58
16620	-42.77
16640	-42.78
16660	-40.88
16680	-41.55
16700	-40.65
16720	-42.69
16740	-39.36
16760	-40.72
16780	-41.8
16800	-40.92
16820	-39.26
16840	-40.64
16860	-39.46
16880	-40.35
16900	-40.3
16920	-42.1
16940	-41.25
16960	-42.41
16980	-40.69
17000	-42.12
17020	-40.42
17040	-42.23
17060	-40
17080	-39.76
17100	-38.99
17120	-42.35
17140	-39.8
17160	-40.26
17180	-40.48
17200	-40.56
17220	-40.17
17240	-41.24
17260	-42.24
17280	-39.81
17300	-39.8
17320	-41.58
17340	-40.55
17360	-40.64
17380	-39.94
17400	-41.25
17420	-42.94
17440	-42.38
17460	-41.52
17480	-40.75
17500	-40.72
17520	-41.49
17540	-41.22
17560	-38.85
17580	-40.46
17600	-41.85
17620	-39.58
17640	-39.7
17660	-40.89
17680	-40.04
17700	-40.7
17720	-42.53
17740	-41.35
17760	-41.31
17780	-41.04
17800	-40.9
17820	-38.95
17840	-41.45
17860	-42.4
17880	-43.36
17900	-41.14
17920	-40.93
17940	-42.52
17960	-41.74
17980	-43.47
18000	-42.27
18020	-42.68
18040	-41.83
18060	-40.5
18080	-42.77
18100	-42.9
18120	-42.77
18140	-42.99
18160	-40.6
18180	-40.68
18200	-40.98
18220	-42.25
18240	-41.83
18260	-41.63
18280	-44.35
18300	-42.17
18320	-40.74
18340	-43.78
18360	-42.4
18380	-43.02
18400	-42.35
18420	-41.89
18440	-42.12
18460	-42.25
18480	-42.82
18500	-40.04
18520	-42.21
18540	-41.75
18560	-39.92
18580	-40.92
18600	-42.85
18620	-41.37
18640	-40.41
18660	-40.96
18680	-40.12
18700	-41.7
18720	-41.13
18740	-41.01
18760	-42.66
18780	-42.25
18800	-41.46
18820	-41.24
18840	-40.87
18860	-41.97
18880	-40.39
18900	-40.26
18920	-42.36
18940	-42.09
18960	-40.85
18980	-42.11
19000	-41.29
19020	-42.16
19040	-40.04
19060	-42.61
19080	-41.81
19100	-42.03
19120	-41.5
19140	-42.48
19160	-42.75
19180	-41.38
19200	-43.74
19220	-42.52
19240	-40.54
19260	-43.75
19280	-41.23
19300	-42.72
19320	-40.42
19340	-41.28
19360	-41.68
19380	-41.75
19400	-42.86
19420	-43.07
19440	-42.36
19460	-40.85
19480	-41.35
19500	-42.17
19520	-41.37
19540	-42.65
19560	-40.93
19580	-42.56
19600	-40.46
19620	-40.83
19640	-40.89
19660	-41.84
19680	-39.93
19700	-41.5
19720	-42.05
19740	-41.43
19760	-41.4
19780	-41.63
19800	-42.8
19820	-43.02
19840	-41.4
19860	-40.22
19880	-40.69
19900	-41.43
19920	-40.66
19940	-41.6
19960	-42.62
19980	-42.14
20000	-42.66
20020	-41.97
20040	-41.69
20060	-42.76
20080	-42.71
20100	-41.33
20120	-42.68
20140	-42.01
20160	-42.6
20180	-42.19
20200	-42.79
20220	-40.37
20240	-41.4
20260	-42.46
20280	-42.54
20300	-41.92
20320	-42.38
20340	-43.13
20360	-41.86
20380	-43.12
20400	-44.51
20420	-42.45
20440	-43.21
20460	-43.52
20480	-42.04
20500	-41.92
20520	-43.2
20540	-43.36
20560	-44.97
20580	-42.52
20600	-42.06
20620	-41.89
20640	-42.42
20660	-40.62
20680	-40.09
20700	-43.6
20720	-42.12
20740	-39.93
20760	-42.75
20780	-42.39
20800	-42.98
20820	-40.72
20840	-43.35
20860	-42.55
20880	-42.08
20900	-43.27
20920	-42.27
20940	-43.93
20960	-42.95
20980	-43.09
21000	-44.85
21020	-43.5
21040	-42.52
21060	-42.26
21080	-43.68
21100	-43.31
21120	-42.63
21140	-41.83
21160	-42.08
21180	-41.92
21200	-43.89
21220	-42.88
21240	-43.91
21260	-42.58
21280	-42.68
21300	-41.02
21320	-41.96
21340	-42.42
21360	-43.83
21380	-42.06
21400	-42.52
21420	-43.75
21440	-41.22
21460	-42.34
21480	-43.06
21500	-44.58
21520	-41.88
21540	-42.04
21560	-42.86
21580	-42.1
21600	-41.02
21620	-42.87
21640	-41.93
21660	-43.4
21680	-42.04
21700	-41.6
21720	-44.16
21740	-43.94
21760	-42.49
21780	-43.68
21800	-43.51
21820	-43.1
21840	-42.76
21860	-43.59
21880	-43.13
21900	-41.36
21920	-41.9
21940	-42.24
21960	-42.45
21980	-42.68
22000	-42.6
22020	-42.55
22040	-41.88
22060	-40.51
22080	-43.27
22100	-40.99
22120	-43.28
22140	-42.03
22160	-41
22180	-42.17
22200	-41.51
22220	-41.53
22240	-41.15
22260	-41.44
22280	-42.32
22300	-42.41
22320	-43.05
22340	-42.69
22360	-41.05
22380	-43.67
22400	-42.38
22420	-43.47
22440	-42.36
22460	-42.51
22480	-41.82
22500	-42
22520	-43.97
22540	-43.04
22560	-42.77
22580	-42.05
22600	-42.34
22620	-41.7
22640	-42.74
22660	-42.96
22680	-43.02
22700	-43.31
22720	-42.72
22740	-40.56
22760	-40.83
22780	-40.19
22800	-42.56
22820	-41.26
22840	-42.21
22860	-41.82
22880	-43.69
22900	-42.37
22920	-41.04
22940	-42.02
22960	-40.35
22980	-41.31
23000	-41.83
23020	-42.79
23040	-42.06
23060	-41.94
23080	-42.18
23100	-43.6
23120	-43.04
23140	-42.03
23160	-41.85
23180	-42.78
23200	-41.48
23220	-41.17
23240	-41.93
23260	-41.22
23280	-40.28
23300	-39.11
23320	-40.34
23340	-40.04
23360	-41.21
23380	-42.47
23400	-42.83
23420	-44.36
23440	-42.78
23460	-42.41
23480	-41.87
23500	-42.04
23520	-44.64
23540	-44.12
23560	-44.64
23580	-44.25
23600	-41.8
23620	-44.75
23640	-44.64
23660	-42.81
23680	-43.13
23700	-44.55
23720	-45.29
23740	-43.41
23760	-41.51
23780	-44.11
23800	-43.95
23820	-43.84
23840	-44.14
23860	-44.13
23880	-43.66
23900	-43.11
23920	-43.53
23940	-42.93
23960	-44.44
23980	-43.86
24000	-40.99
24020	-42.65
24040	-42.48
24060	-44.11
24080	-44.03
24100	-44.24
24120	-42.92
24140	-44.3
24160	-43.05
24180	-44.18
24200	-42.27
24220	-44.34
24240	-44.51
24260	-44.33
24280	-43.6
24300	-43.86
24320	-41.79
24340	-43.65
24360	-43.11
24380	-44.07
24400	-43.88
24420	-44.29
24440	-42.3
24460	-42.04
24480	-44.64
24500	-43.01
24520	-42.93
24540	-43.63
24560	-43.8
24580	-42.72
24600	-42.02
24620	-43.29
24640	-42.78
24660	-45.76
24680	-43.64
24700	-44.79
24720	-42.48
24740	-42.71
24760	-43.02
24780	-44.34
24800	-43.24
24820	-45.27
24840	-44.28
24860	-43.69
24880	-44.14
24900	-44.93
24920	-44.77
24940	-43.33
24960	-41.88
24980	-43.23
25000	-42.66
25020	-42.41
25040	-43.54
25060	-42.71
25080	-43.66
25100	-44.35
25120	-44.14
25140	-44.35
25160	-43.05
25180	-42.74
25200	-43.11
25220	-43.42
25240	-42.35
25260	-44.12
25280	-43.08
25300	-43.91
25320	-43.14
25340	-44.02
25360	-43.4
25380	-42.2
25400	-43.45
25420	-43.65
25440	-45.14
25460	-44.36
25480	-45.3
25500	-44.09
25520	-42.41
25540	-41.35
25560	-42.65
25580	-45.02
25600	-43.6
25620	-43.17
25640	-43
25660	-44.91
25680	-44.45
25700	-46.11
25720	-43.74
25740	-43.94
25760	-45.14
25780	-43.34
25800	-43.46
25820	-44.1
25840	-43.96
25860	-45.11
25880	-44.4
25900	-44.55
25920	-44.51
25940	-42.56
25960	-43.2
25980	-44.36
26000	-42.59
26020	-44.19
26040	-45.64
26060	-43.37
26080	-42.39
26100	-43.78
26120	-41.93
26140	-44.14
26160	-42.56
26180	-42.46
26200	-41.67
26220	-43.1
26240	-42.19
26260	-44.16
26280	-43.22
26300	-42.92
26320	-43.21
26340	-42.18
26360	-42.76
26380	-42.87
26400	-41.74
26420	-42.75
26440	-42.85
26460	-43.4
26480	-43.25
26500	-42.75
26520	-44.69
26540	-44.44
26560	-46.5
26580	-45.54
26600	-43.31
26620	-43.22
26640	-44.2
26660	-43.05
26680	-43.1
26700	-43.63
26720	-43.09
26740	-43.5
26760	-44.54
26780	-43.78
26800	-44.37
26820	-44.73
26840	-42.85
26860	-42.83
26880	-44.65
26900	-43.44
26920	-43.13
26940	-44.22
26960	-43.1
26980	-41.77
27000	-43.73
27020	-43.44
27040	-44
27060	-44.59
27080	-43.95
27100	-42.86
27120	-42.44
27140	-41.29
27160	-44.38
27180	-41.8
27200	-43.26
27220	-43.39
27240	-43.19
27260	-43.21
27280	-43.05
27300	-43.45
27320	-43.13
27340	-44.58
27360	-43.26
27380	-44.36
27400	-43.64
27420	-44.89
27440	-44.91
27460	-43.95
27480	-44.47
27500	-42.95
27520	-42.51
27540	-43.01
27560	-41.71
27580	-41.07
27600	-40.93
27620	-40.98
27640	-39.39
27660	-39.42
27680	-40.29
27700	-40.41
27720	-38.84
27740	-38.22
27760	-38.37
27780	-39.46
27800	-43.8
27820	-43.26
27840	-44.26
27860	-44.15
27880	-41.95
27900	-44.87
27920	-44.54
27940	-43.23
27960	-43.67
27980	-43.86
28000	-44.03
28020	-45
28040	-44.97
28060	-44
28080	-44.8
28100	-44.92
28120	-43.77
28140	-43.94
28160	-43.08
28180	-46.28
28200	-43.68
28220	-43.65
28240	-44.78
28260	-44.58
28280	-44.91
28300	-43.64
28320	-42.04
28340	-45.54
28360	-44.62
28380	-42.71
28400	-44.9
28420	-42.91
28440	-43.38
28460	-44.1
28480	-44.35
28500	-45.03
28520	-43.34
28540	-42.38
28560	-43.96
28580	-43.12
28600	-42.98
28620	-40.88
28640	-40.77
28660	-40.52
28680	-40.21
28700	-40.17
28720	-41.1
28740	-40.14
28760	-40.78
28780	-40.49
28800	-38.62
28820	-39.1
28840	-39.6
28860	-40.05
28880	-40.01
28900	-42.08
28920	-43.87
28940	-43.58
28960	-43.1
28980	-43.32
29000	-45.38
29020	-44.58
29040	-44
29060	-43.34
29080	-43.85
29100	-45.15
29120	-43.98
29140	-44.89
29160	-42.89
29180	-43.79
29200	-45.31
29220	-43.82
29240	-42.86
29260	-45.81
29280	-44.05
29300	-43.67
29320	-44.52
29340	-42.8
29360	-44.88
29380	-43.81
29400	-43.22
29420	-43.34
29440	-43.94
29460	-45.35
29480	-44.63
29500	-43.92
29520	-46.36
29540	-44.45
29560	-44.09
29580	-44.61
29600	-45.84
29620	-46.22
29640	-44.46
29660	-43.01
29680	-44.9
29700	-46.45
29720	-44.21
29740	-46.14
29760	-44.54
29780	-44.42
29800	-43.57
29820	-44.05
29840	-45.18
29860	-44.54
29880	-43.74
29900	-44.68
29920	-44.48
29940	-43.72
29960	-44.63
29980	-44.08
30000	-42.98
30020	-43.67
30040	-45.52
30060	-45.7
30080	-43.85
30100	-44.95
30120	-46.25
30140	-44.21
30160	-45.03
30180	-44.59
30200	-43.06
30220	-45.43
30240	-44.55
30260	-44.65
30280	-45.24
30300	-44.76
30320	-44.87
30340	-43.49
30360	-44.28
30380	-42.29
30400	-43.97
30420	-44.73
30440	-44.93
30460	-45.24
30480	-44.77
30500	-43.95
30520	-43.47
30540	-43.49
30560	-44.21
30580	-42.71
30600	-44.22
30620	-43.29
30640	-43.8
30660	-41.58
30680	-42.44
30700	-43.39
30720	-42.22
30740	-42.69
30760	-42.05
30780	-42.01
30800	-44.03
30820	-45.08
30840	-42.83
30860	-43.9
30880	-42.45
30900	-43.19
30920	-43.76
30940	-44.79
30960	-45.37
30980	-43.42
31000	-44.4
31020	-42.99
31040	-44.97
31060	-41.75
31080	-44.27
31100	-44.2
31120	-44.13
31140	-43.08
31160	-43.57
31180	-42.73
31200	-45.16
31220	-43.7
31240	-44.25
31260	-44.18
31280	-43.7
31300	-43.97
31320	-42.79
31340	-43.63
31360	-43.67
31380	-44.36
31400	-45.2
31420	-43.57
31440	-43.09
31460	-44.57
31480	-41.65
31500	-43.28
31520	-45.39
31540	-43.86
31560	-43.37
31580	-44.74
31600	-43.33
31620	-43.98
31640	-44.19
31660	-43.69
31680	-44.29
31700	-43.64
31720	-43.2
31740	-42.67
31760	-43.16
31780	-45.06
31800	-43.26
31820	-43.37
31840	-43.5
31860	-45.22
31880	-42.81
31900	-44.89
31920	-42.76
31940	-44.23
31960	-43.48
31980	-44.16
32000	-42.54
32020	-44.45
32040	-43.87
32060	-41.4
32080	-41.72
32100	-41.23
32120	-42.79
32140	-40.5
32160	-41.06
32180	-40.69
32200	-40.85
32220	-40.59
32240	-39.86
32260	-40.34
32280	-40.7
32300	-40.51
32320	-40.7
32340	-40.42
32360	-40.44
32380	-39.83
32400	-39.04
32420	-40.38
32440	-39.61
32460	-38.81
32480	-38.91
32500	-40.14
32520	-42.38
32540	-43.82
32560	-43.57
32580	-44.14
32600	-43.77
32620	-43.67
32640	-43.3
32660	-44.81
32680	-43.29
32700	-45.77
32720	-44.61
32740	-44.58
32760	-43.09
32780	-43.42
32800	-45.03
32820	-45.25
32840	-44.84
32860	-44.81
32880	-45.78
32900	-44.23
32920	-44.07
32940	-43.85
32960	-42.07
32980	-42.72
33000	-44.33
33020	-43.76
33040	-43.83
33060	-42.67
33080	-43.84
33100	-44.33
33120	-44.15
33140	-44.25
33160	-43.29
33180	-42.87
33200	-42.7
33220	-43.14
33240	-44.7
33260	-43.02
33280	-43.44
33300	-43.61
33320	-45.89
33340	-43.29
33360	-43.35
33380	-41.9
33400	-41.15
33420	-41.56
33440	-40.98
33460	-39.74
33480	-40.08
33500	-39.61
33520	-40.44
33540	-40.32
33560	-38.92
33580	-39.98
33600	-39.96
33620	-39.7
33640	-39.91
33660	-40.07
33680	-38.59
33700	-39.06
33720	-39.83
33740	-40.52
33760	-41.82
33780	-41.98
33800	-42.06
33820	-42.39
33840	-42.4
33860	-42.16
33880	-44.12
33900	-41.36
33920	-43.39
33940	-42.95
33960	-42.82
33980	-44.86
34000	-42.81
34020	-43.39
34040	-42.27
34060	-42.68
34080	-43.05
34100	-42.22
34120	-43.3
34140	-43.07
34160	-42.13
34180	-42.34
34200	-43.38
34220	-43.15
34240	-41.84
34260	-42.67
34280	-42.3
34300	-43.47
34320	-44.04
34340	-43.38
34360	-42.35
34380	-42.41
34400	-44.39
34420	-42.63
34440	-43.15
34460	-42.33
34480	-41.98
34500	-43.23
34520	-42.7
34540	-43.39
34560	-43.95
34580	-42.59
34600	-43.1
34620	-43.92
34640	-43.51
34660	-41.78
34680	-41.32
34700	-42.26
34720	-43.09
34740	-44.35
34760	-40.9
34780	-40.22
34800	-39.35
34820	-40.4
34840	-40.99
34860	-40.21
34880	-40.35
34900	-41.16
34920	-40.45
34940	-41.79
34960	-40.08
34980	-41.3
35000	-41.06
35020	-41.15
35040	-40.04
35060	-39.72
35080	-39.08
